,UUID4,ToposText_ID,Place_Name,Reference,Lat,Long,Book,Chapter,Paragraph,Text
4109,216996e0-47ed-469f-8560-e89f05efef23,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.17.2,30.0,74.0,6,17,2.0,"Joining up to Adiabene are the people formerly known as the 'Carduchi,' now the Cordueni, in front of whom the river Tigris flows: and next to them are the Pratitae, entitled the Par Odon, who hold possession of the Caspian Gates. On the other side of these gates we come to the deserts of Parthia and the mountain chain of Cithenus; and after that, the most pleasant locality of all Parthia, Choara by name. Here were two cities of the Parthians, built in former times for their protection against the people of Media, Calliope, and Issatis, the last of which stood formerly on a rock. Hecatompylos, the capital of Parthia, is distant from the Caspian Gates one hundred and thirty-three miles. In such an effectual manner is the kingdom of Parthia shut out by these passes. After leaving these gates we find the nation of the Caspii, extending as far as the shores of the Caspian, a race which has given its name to these gates as well as to the sea: on the left there is a mountainous district. Turning back from this nation to the river Cyrus, the distance is said to be two hundred and twenty miles; but if we go from that river as far down as the Caspian Gates, the distance is seven hundreds miles. In the itineraries of Alexander the Great these gates were made the central or turning point in his expeditions; the distance from the Caspian Gates to the frontier of India being there set down as fifteen thousand six hundred and eighty stadia, to the city of Bactra, commonly called Zariaspa, three thousand seven hundred, and thence to the river Jaxartes five thousand stadia. "
4115,b7f15455-a92b-4082-bc14-987462f14b3b,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.18.1,25.4487,68.3192,6,18,1.0,"NATIONS SITUATE AROUND THE HYRCANIAN SEA: Lying to the east of the Caspii is the region known as Apavortene, in which there is a place noted for its singular fertility, called Dareium. We then come to the nations of the Tapyri, the Anariaci, the Staures, and the Hyrcani, past whose shores and beyond the river Sideris the Caspian begins to take the name of the 'Hyrcanian' Sea: on this side of that stream are also the rivers Maxeras and Strato<: Caucasian chain. Next comes the district of Margiane, so remarkable for its sunny climate. It is the only spot in all these regions that produces the vine, being shut in on every side by verdant and refreshing hills. This district is fifteen hundred stadia in circumference, but is rendered remarkably difficult of access by sandy deserts, which extend a distance of one hundred and twenty miles: it lies opposite to the country of Parthia, and in it Alexander founded the city of Alexandria. This place having been destroyed by the barbarians, Antiochus, the son of Seleucus, rebuilt it on the same site as a Syrian city. For, seeing that it was watered by the Margus, which passes through it, and is afterwards divided into a number of streams for the irrigation of the district of Zothale, he restored it, but preferred giving it the name of Antiochia. The circumference of this city is seventy stadia: it was to this place that Orodes conducted such of the Romans as had survived the defeat of Crassus. From the mountain heights of this district, along the range of Caucasus, the savage race of the Mardi, a free people, extends as far as the Bactri. Below the district inhabited by them, we find the nations of the Orciani, the Commori, the Berdrigae, the Harmatotropi, the Citomarae, the Comani, the Marucaei, and the Mandruani. The rivers here are the Mandrus and the Chindrus. Beyond the nations already mentioned, are the Chorasmii, the Candari, the Attasini, the Paricani, the Sarangae, the Marotiani, the Aorsi, the Gaeli, by the Greek writers called Cadusii, the Matiani, the city of Heraclea, which was founded by Alexander, but was afterwards destroyed, and rebuilt by Antiochus, and by him called Achais; the Derbices also, through the middle of whose territory the river Oxus runs, after rising in Lake Oxus, the Syrmatae, the Oxydracae, the Heniochi, the Bateni, the Saraparae, and the Bactri, whose chief city is Zariaspe, which afterwards received the name of Bactra, from the river there. This last nation lies at the back of Mount Paropanisus, over against the sources of the river Indus, and is bounded by the river Ochus. Beyond it are the Sogdiani, the town of Panda, and, at the very extremity of their territory, Alexandria, founded by Alexander the Great. At this spot are the altars which were raised by Hercules and Father Liber, as also by Cyrus, Semiramis, and Alexander; for the expeditions of all these conquerors stopped short at this region, bounded as it is by the river Jaxartes, by the Scythians known as the Silis, and by Alexander and his officers supposed to have been the Tanais. This river was crossed by Demodamas, a general of kings Seleucus and Antiochus, and whose account more particularly we have here followed. He also consecrated certain altars here to Apollo Didymaeus.  "
4121,bd4526a0-c97e-472a-9ce1-46747dde7360,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.19.1,30.0,74.0,6,19,1.0,"THE NATIONS OF SCYTHIA AND THE COUNTRIES ON THE EASTERN OCEAN. Beyond this river are the peoples of Scythia. The Persians have called them by the general name of Sacae, which properly belongs to only the nearest nation of them. The more ancient writers give them the name of Aramii. The Scythians themselves give the name of ""Chorsari"" to the Persians, and they call Mount Caucasus Graucasis, which means ""white with snow."" The multitude of these Scythian nations is quite innumerable: in their life and habits they much resemble the people of Parthia. The tribes among them that are better known are the Sacae, the Massagetae, the Dahae, the Essedones, the Ariacae, the Rhymmici, the Paesici, the Amardi, the Histi, the Edones, the Came, the Camacae, the Euchatae, the Cotieri, the Anthusiani, the Psacae, the Arimaspi, the Antacati, the Chroasai, and the Oetei; among them the Napaei are said to have been destroyed by the Palaei. The rivers in their country that are the best known, are the Mandragaeus and the Carpasus. Indeed upon no subject that I know of are there greater discrepancies among writers, from the circumstance, I suppose, of these nations being so extremely numerous, and of such migratory habits. Alexander the Great has left it stated that the water of this sea is fresh, and M. Varro informs us, that some of it, of a similar character, was brought to Pompey, when holding the chief command in the Mithridatic war in its vicinity; the salt, no doubt, being overpowered by the volume of water discharged by the rivers which flow into it. He adds also, that under the direction of Pompey, it was ascertained that it is seven days' journey from India to the river Icarus, in the country of the Bactri, which discharges itself into the Oxus, and that the merchandize of India being conveyed from it through the Caspian Sea into the Cyrus, may be brought by land to Phasis in Pontus, in five days at most. There are numerous islands throughout the whole of the Caspian sea: the only one that is well known is that of Tazata. "
4123,a1f6874a-c0f9-40b8-ba02-500dcbbad6e6,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.19.1,30.0,74.0,6,19,1.0,"THE NATIONS OF SCYTHIA AND THE COUNTRIES ON THE EASTERN OCEAN. Beyond this river are the peoples of Scythia. The Persians have called them by the general name of Sacae, which properly belongs to only the nearest nation of them. The more ancient writers give them the name of Aramii. The Scythians themselves give the name of ""Chorsari"" to the Persians, and they call Mount Caucasus Graucasis, which means ""white with snow."" The multitude of these Scythian nations is quite innumerable: in their life and habits they much resemble the people of Parthia. The tribes among them that are better known are the Sacae, the Massagetae, the Dahae, the Essedones, the Ariacae, the Rhymmici, the Paesici, the Amardi, the Histi, the Edones, the Came, the Camacae, the Euchatae, the Cotieri, the Anthusiani, the Psacae, the Arimaspi, the Antacati, the Chroasai, and the Oetei; among them the Napaei are said to have been destroyed by the Palaei. The rivers in their country that are the best known, are the Mandragaeus and the Carpasus. Indeed upon no subject that I know of are there greater discrepancies among writers, from the circumstance, I suppose, of these nations being so extremely numerous, and of such migratory habits. Alexander the Great has left it stated that the water of this sea is fresh, and M. Varro informs us, that some of it, of a similar character, was brought to Pompey, when holding the chief command in the Mithridatic war in its vicinity; the salt, no doubt, being overpowered by the volume of water discharged by the rivers which flow into it. He adds also, that under the direction of Pompey, it was ascertained that it is seven days' journey from India to the river Icarus, in the country of the Bactri, which discharges itself into the Oxus, and that the merchandize of India being conveyed from it through the Caspian Sea into the Cyrus, may be brought by land to Phasis in Pontus, in five days at most. There are numerous islands throughout the whole of the Caspian sea: the only one that is well known is that of Tazata. "
4130,0c70a8e9-af31-4a13-8c5e-df066f3f78e6,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.20.2,30.0,74.0,6,20,2.0,"The first people that are known of here are the Seres, so famous for the wool that is found in their forests. After steeping it in water, they comb off a white down that adheres to the leaves; and then to the females of our part of the world they give the twofold task of unravelling their textures, and of weaving the threads afresh. So manifold is the labour, and so distant are the regions which are thus ransacked to supply a dress through which our ladies may in public display their charms. The Seres are of inoffensive manners, but, bearing a strong resemblance therein to all savage nations, they shun all intercourse with the rest of mankind, and await the approach of those who wish to traffic with them. The first river that is known in their territory is the Psitharas, next to that the Cambari, and the third the Laros; after which we come to the Promontory of Chryse, the Gulf of Cynaba, the river Atianos, and the nation of the Attacori on the gulf of that name, a people protected by their sunny hills from all noxious blasts, and living in a climate of the same temperature as that of the Hyperborei. Amometus has written a work entirely devoted to the history of these people, just as Hecataeus has done in his treatise on the Hyperborei. After the Attacori, we find the nations of the Phruri and the Tochari, and, in the interior, the Casiri, a people of India, who look toward the Scythians, and feed on human flesh. Here are also numerous wandering Nomad tribes of India. There are some authors who state that in a north-easterly direction these nations touch upon the Cicones and the Brysari. "
4131,ed6fb853-34ef-4bb9-9714-d829882de9a5,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.20.2,30.0,74.0,6,20,2.0,"The first people that are known of here are the Seres, so famous for the wool that is found in their forests. After steeping it in water, they comb off a white down that adheres to the leaves; and then to the females of our part of the world they give the twofold task of unravelling their textures, and of weaving the threads afresh. So manifold is the labour, and so distant are the regions which are thus ransacked to supply a dress through which our ladies may in public display their charms. The Seres are of inoffensive manners, but, bearing a strong resemblance therein to all savage nations, they shun all intercourse with the rest of mankind, and await the approach of those who wish to traffic with them. The first river that is known in their territory is the Psitharas, next to that the Cambari, and the third the Laros; after which we come to the Promontory of Chryse, the Gulf of Cynaba, the river Atianos, and the nation of the Attacori on the gulf of that name, a people protected by their sunny hills from all noxious blasts, and living in a climate of the same temperature as that of the Hyperborei. Amometus has written a work entirely devoted to the history of these people, just as Hecataeus has done in his treatise on the Hyperborei. After the Attacori, we find the nations of the Phruri and the Tochari, and, in the interior, the Casiri, a people of India, who look toward the Scythians, and feed on human flesh. Here are also numerous wandering Nomad tribes of India. There are some authors who state that in a north-easterly direction these nations touch upon the Cicones and the Brysari. "
4133,07660f5c-f58c-48cf-b6b4-a4775f32bb70,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.21.1,30.0,74.0,6,21,1.0,"THE NATIONS OF INDIA: But we come now to nations as to which there is a more general agreement among writers. Where the chain of Emodos rises, the nations of India begin, which borders not only on the Eastern sea, but on the Southern as well, which we have already mentioned as being called the Indian Ocean. That part which faces the east runs in a straight line a distance of eighteen hundred and seventy-five miles until it comes to a bend, at which the Indian Ocean begins. Here it takes a turn to the south, and continues to run in that direction a distance of two thousand four hundred and seventy-five miles, according to Eratosthenes, as far as the river Indus, the boundary of India on the west. Many authors have represented the entire length of the Indian coast as being forty days' and nights' sail, and as being, from north to south, two thousand eight hundred and fifty miles. Agrippa states its length to be three thousand three hundred miles, and its breadth, two thousand three hundred. Posidonius has given its measurement as lying from north-east to south-east, placing it opposite to Gaul, of which country he has given the measurement as lying from north-west to south-west; making the whole of India to lie due west of Gaul. Hence, as he has shewn by undoubted proofs, India lying opposite to Gaul must be refreshed by the blowing of that wind, and derive its salubrity therefrom. "
4134,c6c58f42-6b35-4584-819b-f18a1025685b,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:6.21.1,25.4487,68.3192,6,21,1.0,"THE NATIONS OF INDIA: But we come now to nations as to which there is a more general agreement among writers. Where the chain of Emodos rises, the nations of India begin, which borders not only on the Eastern sea, but on the Southern as well, which we have already mentioned as being called the Indian Ocean. That part which faces the east runs in a straight line a distance of eighteen hundred and seventy-five miles until it comes to a bend, at which the Indian Ocean begins. Here it takes a turn to the south, and continues to run in that direction a distance of two thousand four hundred and seventy-five miles, according to Eratosthenes, as far as the river Indus, the boundary of India on the west. Many authors have represented the entire length of the Indian coast as being forty days' and nights' sail, and as being, from north to south, two thousand eight hundred and fifty miles. Agrippa states its length to be three thousand three hundred miles, and its breadth, two thousand three hundred. Posidonius has given its measurement as lying from north-east to south-east, placing it opposite to Gaul, of which country he has given the measurement as lying from north-west to south-west; making the whole of India to lie due west of Gaul. Hence, as he has shewn by undoubted proofs, India lying opposite to Gaul must be refreshed by the blowing of that wind, and derive its salubrity therefrom. "
4135,031501a8-2375-4082-bcd2-b48ea4e2a20f,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.21.1,30.0,74.0,6,21,1.0,"THE NATIONS OF INDIA: But we come now to nations as to which there is a more general agreement among writers. Where the chain of Emodos rises, the nations of India begin, which borders not only on the Eastern sea, but on the Southern as well, which we have already mentioned as being called the Indian Ocean. That part which faces the east runs in a straight line a distance of eighteen hundred and seventy-five miles until it comes to a bend, at which the Indian Ocean begins. Here it takes a turn to the south, and continues to run in that direction a distance of two thousand four hundred and seventy-five miles, according to Eratosthenes, as far as the river Indus, the boundary of India on the west. Many authors have represented the entire length of the Indian coast as being forty days' and nights' sail, and as being, from north to south, two thousand eight hundred and fifty miles. Agrippa states its length to be three thousand three hundred miles, and its breadth, two thousand three hundred. Posidonius has given its measurement as lying from north-east to south-east, placing it opposite to Gaul, of which country he has given the measurement as lying from north-west to south-west; making the whole of India to lie due west of Gaul. Hence, as he has shewn by undoubted proofs, India lying opposite to Gaul must be refreshed by the blowing of that wind, and derive its salubrity therefrom. "
4136,a35d81df-4102-42a5-a832-854e98bdfe1e,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:6.21.1,30.0,74.0,6,21,1.0,"THE NATIONS OF INDIA: But we come now to nations as to which there is a more general agreement among writers. Where the chain of Emodos rises, the nations of India begin, which borders not only on the Eastern sea, but on the Southern as well, which we have already mentioned as being called the Indian Ocean. That part which faces the east runs in a straight line a distance of eighteen hundred and seventy-five miles until it comes to a bend, at which the Indian Ocean begins. Here it takes a turn to the south, and continues to run in that direction a distance of two thousand four hundred and seventy-five miles, according to Eratosthenes, as far as the river Indus, the boundary of India on the west. Many authors have represented the entire length of the Indian coast as being forty days' and nights' sail, and as being, from north to south, two thousand eight hundred and fifty miles. Agrippa states its length to be three thousand three hundred miles, and its breadth, two thousand three hundred. Posidonius has given its measurement as lying from north-east to south-east, placing it opposite to Gaul, of which country he has given the measurement as lying from north-west to south-west; making the whole of India to lie due west of Gaul. Hence, as he has shewn by undoubted proofs, India lying opposite to Gaul must be refreshed by the blowing of that wind, and derive its salubrity therefrom. "
