"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"77352815-7437-44d9-98a5-0c322f3f4711","6.22.1_text.txt","cosoagus","char-offset:414","PLACE","http://pleiades.stoa.org/places/59763","Casuagus/Kossoanos (river)","-0330/-0030","29.55009","79.54153","river","VERIFIED","","a river flowed into Ganges","",""
"20fe60fb-1102-4793-8796-e0e37ca21555","6.22.1_text.txt","sonus","char-offset:432","PLACE","http://pleiades.stoa.org/places/59808","Erannoboas/Sonus (river)","-0330/0300","22.5","82.5","river","VERIFIED","","","",""
"22bebf51-4760-4790-8c4b-febe95904de0","6.22.1_text.txt","protalis","char-offset:1044","PLACE","http://pleiades.stoa.org/places/59992","Pertalis|Pertalis, Tribeni? Skt.: Pūrvasthāli","-0030/0300","23.013782","88.414196","settlement","VERIFIED","","mentioned as capital of Kalinga (Orissa) by Pliny
https://www.jatland.com/home/Parthalis","",""
"a15f7f01-9532-40c2-8f93-667ac638c10c","6.22.1_text.txt","this king has sixty thousand foot-soldiers, one thousand horse, and seven hundred elephants, always caparisoned ready for battle","char-offset:1054","","","","","","","","","","description of Indian King","",""
"3be31cba-3f68-4f2c-bac7-2849bb0bfa55","6.22.1_text.txt","the people of the more civilized nations of india are divided into several classes. one of these classes tills the earth, another attends to military affairs, others again are occupied in mercantile pursuits, while the wisest and the most wealthy among them have the management of the affairs of state — act as judges, and give counsel to the king. the fifth class, entirely devoting themselves to the pursuit of wisdom, which in these countries is almost held in the same veneration as religion, always end their life by a voluntary death upon the lighted pile. in addition to these, there is a class in a half-savage state, and doomed to endless labour; by means of their exertions, all the classes previously mentioned are supported. it is their duty to hunt the elephant, and to tame him when captured; for it is by the aid of these animals that they plough; by these animals they are conveyed from place to place; these in especial they look upon as constituting their flocks and herds; by their aid they wage their wars, and fight in defence of their territories. strength, age, and size, are the points usually considered in making choice of these animals.","char-offset:1184","","","","","","","","","description about Indian society","","",""
"e1f3583b-01cb-47f8-9d94-8c66975336a0","6.22.1_text.txt","strength","char-offset:2254","","","","","","","","","","mistakenly annotated as people on TOPOsText","",""
"0df69ce5-2193-4525-8236-de0f4efe9557","6.21.3_text.txt","peucolaitis","char-offset:996","PLACE","","","","","","","UNVERIFIED","","a city of India","",""
"811229c0-5dfe-4a8f-acf6-78c38338e82b","6.21.3_text.txt","taxilla","char-offset:1112","PLACE","http://pleiades.stoa.org/places/60083","Taxila|Taxila/Takṣaśilā, Bhir, Taxila","-0330/0640","33.743523","72.820526","settlement","VERIFIED","","a city in the Pothohar region of Punjab, Pakistan
https://en.wikipedia.org/wiki/Taxila","",""
"28ab573f-58a9-4e2d-84c4-9a4b084d0c06","6.21.3_text.txt","hypasis","char-offset:1215","PLACE","http://pleiades.stoa.org/places/60110","Zadadros/Hypasis/Sydrus (river)","-0330/0300","32.5","72.5","river","VERIFIED","","","",""
"fda95608-cc80-4d1a-acf1-a3b327f86310","6.22.2_text.txt","modogalinga","char-offset:103","PLACE","http://pleiades.stoa.org/places/49934","Calingae","-0330/0300","17.5","82.5","people","VERIFIED","","one of the large islands in the Delta of the Ganges
https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aalphabetic+letter%3DM%3Aentry+group%3D13","",""
"d72d3119-b83f-42e1-8753-8ffa3afe35bf","6.22.2_text.txt","the king of the last-named people has fifty thousand foot-soldiers, four thousand horse, and four hundred armed elephants","char-offset:346","","","","","","","","","description about Indian society","","",""
"ca82c0dd-6156-4d81-9b1b-ce402dc9ace4","6.22.2_text.txt","andarae","char-offset:519","PLACE","http://pleiades.stoa.org/places/49858","Andarae","-0030/0640","17.5","82.5","unknown","VERIFIED","","","",""
"9014fe30-df20-4429-a400-d2b2245e6e1b","6.22.2_text.txt","the country of the dardae is the most productive of gold, that of the setae of silver","char-offset:719","","","","","","","","","luxury item origin","","",""
"bef8795e-af08-4308-9ad6-1c98fe50c335","6.22.2_text.txt","dardae","char-offset:738","PLACE","http://pleiades.stoa.org/places/59787","Daradrai/Dadikai","-0550/0640","37.5","72.5","people","VERIFIED","","","",""
"6b027be5-bb47-4980-b672-c85ee46b9268","6.22.4_text.txt","methora","char-offset:102","PLACE","http://pleiades.stoa.org/places/59931","Methora|Methora, Mathura","-0330/2100","27.483527","77.678846","settlement","VERIFIED","","","",""
"b117f790-8a42-4120-aa57-9a0ad40bbbdc","6.22.4_text.txt","chrysobora","char-offset:114","PLACE","http://pleiades.stoa.org/places/59775","Chrisobora/Kleisobora|Chrisobora/Kleisobora, Gokul?","-0330/0300","28.030792","77.649033","settlement","VERIFIED","","ancient Indian city name","",""
"101e2c68-fd95-4b87-87a5-bceea8f3cd85","6.22.4_text.txt","in the regions which lie to the south of the ganges, the people are tinted by the heat of the sun, so much so as to be quite coloured, but yet not burnt black, like the aethiopians.","char-offset:126","","","","","","","","","description about Indian society","","",""
"3508f926-8091-44ee-bcf8-a14b8e0acf53","6.22.4_text.txt","the nearer they approach the indus, the deeper their colour, a proof of the heat of the climate.","char-offset:308","","","","","","","","","description about Indian society","","",""
"8004eb29-05f5-4fcb-ac72-42b6596975f4","6.23.2_text.txt","dandaguda","char-offset:78","PLACE","http://pleiades.stoa.org/places/49958","Dandagula/Paloura|Dandagula/Paloura, Dantapura","-0030/0300","18.244258","83.921094","settlement","VERIFIED","","An ancient town in India, mentioned by Pliny
https://en.wiktionary.org/wiki/Dandaguda","",""
"c49d9305-d8c3-4020-9b12-53a61a5df17f","6.23.2_text.txt","tropina","char-offset:142","PLACE","http://pleiades.stoa.org/places/50311","Tropina|Tropina, Tiruppunitura","-0030/0300","9.806614","76.482942","settlement","VERIFIED","","","",""
"ee6bcfbb-1d61-44d8-af88-51fb37a72bac","6.23.2_text.txt","patala","char-offset:334","PLACE","http://pleiades.stoa.org/places/59988","Patalene","-0330/0640","22.5","67.5","island","VERIFIED","","ancient city of Patala at the mouth of the Indus River in Sindh, Pakistan
https://en.wikipedia.org/wiki/Regio_Patalis","",""
"115dba1f-485d-40fe-8ed4-4624b12b76db","6.23.3_text.txt","cesi","char-offset:61","","","","","","","","","mountain","an ancient mountain race inhabiting region between the Indus and the Yamuna as mentioned by Pliny and Megasthenes
https://www.jatland.com/home/Cesi","",""
"a7bd3b84-1a8f-4c5c-abbc-d888ce5da5ae","6.23.3_text.txt","the cetriboni, who dwell in the woods, and after them the megallae, whose king possesses five hundred elephants, and an army of horse and foot, the numbers of which are unknown; then the chrysei, the parasangae, and the asmagi, whose territory is infested by wild tigers; these people keep in arms thirty thousand foot, three hundred elephants, and eight hundred horse.","char-offset:67","","","","","","","","","description about Indian society","","",""
"49137f72-8002-43ad-880b-0c7ad9244ffb","6.23.3_text.txt","these last peoples, who possess the mountains throughout the whole range of country as far as the shores of the ocean, are free, and independent of all kings, and hold numerous cities upon the declivities of the mountains","char-offset:876","","","","","","","","","description about Indian society","","",""
"dae10192-1d35-467f-b9f8-6ac12c11891d","6.23.3_text.txt","capitalia","char-offset:1146","PLACE","http://pleiades.stoa.org/places/59761","Capitalia M.","-0030/0300","22.5","72.5","mountain","VERIFIED","","the loftiest of Indian mountains mentioned by Megasthenes
https://www.jatland.com/home/Capitalia","",""
"483e24bb-6c32-432a-af6b-ef0dacba2354","6.23.3_text.txt","the inhabitants who dwell on the other side of it have extensive mines of gold and silver.","char-offset:1197","","","","","","","","","description about Indian society|luxury item origin","","",""
"f171d477-5a7c-4d2e-bb11-6da8864ac507","6.23.3_text.txt","after these again are the oratae, whose king possesses only ten elephants, but a large army of foot; next come the suarataratae, who live under the rule of a king as well, but breed no elephants, as they depend solely on their horse and foot; then the odonbeores, the arabastree, and the horacae, which last inhabit a fine city fortified by trenches cut in the marshes","char-offset:1288","","","","","","","","","description about Indian society","","",""
"08ba2906-22ff-47c8-abaa-2f007e682eb5","6.23.3_text.txt","automula","char-offset:1899","PLACE","http://pleiades.stoa.org/places/59722","Automula|Automula, Vallabhipur?","-0030/0300","21.770393","71.834758","settlement","VERIFIED","","An ancient town in India, mentioned by Pliny
https://en.wiktionary.org/wiki/Automula","",""
"5b4328c9-4182-420c-b115-fb9fe8a99f32","6.23.3_text.txt","their king possesses sixteen hundred elephants, one hundred and fifty thousand foot, and five thousand horse","char-offset:2007","","","","","","","","","description about Indian society","","",""
"2f455a59-0c9e-4764-8ab9-000b938d2246","6.23.3_text.txt","nation of the pandae, the only one throughout all india which is ruled by women","char-offset:2272","","","","","","","","","description about Indian society","","",""
"c9faf4a4-4371-496a-bad6-1f463df74851","6.23.3_text.txt","hercules had but one child of the female sex, for which reason she was his especial favourite, and he bestowed upon her the principal one of these kingdoms","char-offset:2369","","","","","","","","","connection with Greek myth","","",""
"c8adddf6-1e99-4348-9988-e1a58100cb57","6.23.3_text.txt","the sovereigns who derive their origin from this female, rule over three hundred towns, and have an army of one hundred and fifty thousand foot, and five hundred elephants.","char-offset:2526","","","","","","","","","description about Indian society","","",""
"9c1020a0-b970-4c33-9669-f8fa342efba9","6.23.3_text.txt","patala","char-offset:2977","PLACE","http://pleiades.stoa.org/places/59988","Patalene","-0330/0640","22.5","67.5","island","VERIFIED","","an ancient region in Sindh, Pakistan on the bank of Indus River around present Karachi and Hyderabad
https://www.jatland.com/home/Patala#cite_note-1","",""
"5d36a261-fdad-475e-b2d7-eff6c211cd52","6.23.4_text.txt","amenda","char-offset:1180","PLACE","http://pleiades.stoa.org/places/60064","Souastene","-0030/0300","32.5","72.5","unknown","VERIFIED","","an ancient country mentioned by Greek historians and identified with the Salt Range in Punjab, Pakistan
https://www.jatland.com/home/Amanda","",""
"9abaa105-3316-4093-b00a-f0276eda660b","6.23.1_text.txt","cantaba","char-offset:335","PLACE","http://pleiades.stoa.org/places/59664","Akesinos/Sandabal (river)","-0330/0640","29.059230300000003","70.12808435","river","VERIFIED","","","",""
"63238435-5519-4528-a467-a135c11fd039","6.23.1_text.txt","hypasis","char-offset:401","PLACE","http://pleiades.stoa.org/places/60110","Zadadros/Hypasis/Sydrus (river)","-0330/0300","32.5","72.5","river","VERIFIED","","","",""
"f09fa443-c0b7-4f03-8e8d-1415e9a1a89f","6.23.1_text.txt","prasiane","char-offset:723","PLACE","http://pleiades.stoa.org/places/60006","Prasiane (island)","-0030/0300","27.5","67.5","island","VERIFIED","","","",""
"95f29f15-0751-47b0-b283-725912d4154a","6.23.6_text.txt","patala","char-offset:70","PLACE","http://pleiades.stoa.org/places/59988","Patalene","-0330/0640","22.5","67.5","island","VERIFIED","","an ancient region in Sindh, Pakistan on the bank of Indus River around present Karachi and Hyderabad
https://www.jatland.com/home/Patala","",""
"20f5f8a3-2748-42c9-a7a7-c1d9e5746d1c","6.23.6_text.txt","argyre","char-offset:275","PLACE","http://pleiades.stoa.org/places/60429","Argyre","-0030/0300","","","island","VERIFIED","","","",""
"29845ab8-c966-48f9-93a9-47038a08a79d","6.23.6_text.txt","abounding in metals","char-offset:283","","","","","","","","","luxury item origin","","",""
"5d4d2cd1-00f7-4a2c-9073-db008d6363bb","6.23.6_text.txt","crocala","char-offset:494","PLACE","http://pleiades.stoa.org/places/60490","Crocala","-0030/0300","","","island","VERIFIED","","","",""
"f761c65b-b904-4d6f-802e-a64620725f31","6.23.6_text.txt","bibraga","char-offset:573","PLACE","","","","","","","UNVERIFIED","","suppose to be a name of an ancient place regarding the context","",""
"04e483dd-31fa-4477-97c9-8e1b724e1fae","6.23.6_text.txt","bibraga","char-offset:654","PLACE","","","","","","","UNVERIFIED","","suppose to be a name of an ancient place regarding the context","",""
"a7400781-f0b7-41f4-98bb-28b8c9645cab","6.23.6_text.txt","toralliba","char-offset:670","PLACE","","","","","","","UNVERIFIED","","suppose to be a name of an ancient place regarding the context","",""
"1cf0b571-6b3a-43f6-b4e6-95d65e67f61f","6.24.4_text.txt","gold and silver are held in esteem even there","char-offset:110","","","","","","","","","luxury item origin","","",""
"692bf78e-8d7c-499e-89ef-acc01c595b61","6.24.4_text.txt","have a marble which resembles tortoise-shell in appearance; this, as well as their pearls and precious stones, is highly valued; all our luxuries in fact, those even of the most exquisite nature, are there carried to the very highest pitch","char-offset:162","","","","","","","","","luxury item origin","","",""
"d42077fc-3c3e-4b7b-9709-93faa42d0845","6.24.4_text.txt","they asserted that their wealth is much greater than ours, but admitted that we know better than they how to obtain real enjoyment from opulence","char-offset:403","","","","","","","","","comparison with India","","",""
"f7f90ebe-9256-4156-9ae3-87cca9d676f8","6.24.5_text.txt","in this island no slavery exists; they do not prolong their sleep today-break, nor indeed during any part of the day; their buildings are only of a moderate height from the ground; the price of corn is always the same; they have no courts of law and no litigation. hercules is the deity whom they worship; sabtul and their king is chosen by the people, an aged man always, distinguished for his mild and clement disposition, and without children. if after he has been elected king, he happens to become the father of children, his abdication is the consequence; this is done that there may be no danger of the sovereign power becoming hereditary. thirty advisers are provided for him by the people, and it is only by the advice of the majority of them that any man is condemned to capital punishment. even then, the person so condemned has a right of appealing to the people, in which case a jury consisting of seventy persons is appointed. should these acquit the accused, the thirty counsellors are no longer held in any estimation, but are visited with the greatest disgrace. the king wears the costume of father liber, while the rest of the people dress like the natives of arabia. the king, if he is found guilty of any offence, is condemned to death; but no one slays him; all turn their backs upon him, and refuse to hold any communication or even discourse with him. their festivals are celebrated with the chase, the most valued sports being the pursuit of the tiger and the elephant. the lands are carefully tilled; the vine is not cultivated there, but of other fruits there is great abundance. they take great delight in fishing, and especially in catching turtles; beneath the shells of which whole families find an abode, of such vast size are they to be found. these people look upon a hundred years as a comparatively short life. thus much have we learned respecting taprobane.","char-offset:0","","","","","","","","","description of Taprobane society","","",""
"51752f0c-3b25-4d6d-bec6-9b9729df6de8","6.24.2_text.txt","hippuros","char-offset:562","PLACE","http://pleiades.stoa.org/places/50000","Hippuri Pr.","-0030/0640","10.0","80.0","cape","VERIFIED","","name of port of Taprobane","",""
"a40daf06-c1cd-49f1-988e-3d8f92eefc75","6.24.3_text.txt","palaesimundus","char-offset:160","PLACE","http://pleiades.stoa.org/places/49954","Cydara (river)","-0030/0300","10.0","80.0","river","VERIFIED","","","",""
"ebc2ce19-886a-42bf-8fe2-8b44b65c85fd","6.24.3_text.txt","megisba","char-offset:359","PLACE","http://pleiades.stoa.org/places/50127","Megisba Stagnum","-0030/0300","10.0","80.0","lake","VERIFIED","","","",""
"04996806-6332-4d88-9f26-52e60ed46503","6.24.3_text.txt","palesimundus","char-offset:571","PLACE","http://pleiades.stoa.org/places/49863","Anourogrammon/Palaesimundum?|Anourogrammon/Palaesimundum?, Anurādhapura","-0030/0300","8.313895","80.414911","settlement","VERIFIED","","ancient River name in Taprobane","",""
"7a259014-3e1c-4ebf-8cfe-ac94b21b7196","6.24.3_text.txt","cydara","char-offset:741","PLACE","http://pleiades.stoa.org/places/49954","Cydara (river)","-0030/0300","10.0","80.0","river","VERIFIED","","","",""
"572d75cb-75ef-4a37-a1f8-50e5056679c4","6.24.3_text.txt","coliacum","char-offset:896","PLACE","http://pleiades.stoa.org/places/49951","Coliacum/Kalligikon Pr.","-0030/0640","12.5","77.5","cape","VERIFIED","","","",""
"c8e1da75-d598-4798-bb44-fef5b319398e","6.24.3_text.txt","emodian mountains","char-offset:1989","PLACE","http://geo-kima.org/place/1277","Himalaya Mountains","","","","","VERIFIED","","variant name of Himalayas
https://www.jatland.com/home/Himalayas
","",""
"76e4aca6-f66e-483f-92fe-ece37dd95b47","6.24.3_text.txt","serve","char-offset:2029","","","","","","","","","","generally taken as referring to North China during its Zhou, Qin, and Han dynasties, as it was reached via the overland Silk Road in contrast to the Sinae, who were reached via the maritime routes
https://www.jatland.com/home/Serica


","",""
"e5ec0e0d-5c32-4653-844e-4f8fad525310","6.25.2_text.txt","capisa","char-offset:145","PLACE","http://pleiades.stoa.org/places/59759","Capisa|Capisa, AFG Skt.: Kapiśā","-0030/0300","34.951323","69.755491","settlement","VERIFIED","","","",""
"ec8b4562-a6a9-4eea-bdb8-04d92746fed0","6.25.2_text.txt","parabeste","char-offset:336","PLACE","http://pleiades.stoa.org/places/59747","Bigis/Bestia Desolata/Parabeste|Bigis/Bestia Desolata/Parabeste, Qila-i-Bust","-0030/0640","31.600185","63.870859","settlement","VERIFIED","","","",""
"6679ff51-738e-4d82-b5bf-7e303c0e0d7a","6.25.2_text.txt","cartana","char-offset:529","PLACE","http://pleiades.stoa.org/places/60476","Cartana/Karnasa/Tetrogonis|Cartana/Karnasa/Tetrogonis, Bamiyan","-1200/2000","34.816667","67.816667","unlocated,settlement","VERIFIED","","","",""
"7ddbf1d0-1c8c-45f4-b8e5-598ec6504258","6.25.3_text.txt","tonberos","char-offset:369","PLACE","http://pleiades.stoa.org/places/60088","Tonberon (river)","-0330/0300","25.4335528","65.5449696","river","VERIFIED","","Tomerus is a river mentioned by Greek historian Arrian. The river Tomerus is spoken of by Arrian as lying between the Indus and the river Arabis or Arbis located in Lasbela, Balochistan, Pakistan. Pliny mentions it as Tonberos .


https://www.jatland.com/home/Tomerus","",""
"ef99f92e-3afa-4f2b-8c7e-c5339d64aec9","6.25.3_text.txt","arosapes","char-offset:386","PLACE","http://pleiades.stoa.org/places/60439","Arosape/Arusace","-0030/0300","","","unlocated,river","VERIFIED","","A river in Ariana, mentioned by Pliny
https://en.wiktionary.org/wiki/Arosapes","",""
"6a2c83c2-6dcc-4204-a470-03a201296c74","6.25.3_text.txt","gedrusi","char-offset:1534","PLACE","","","","","","","UNVERIFIED","","the hellenized name of an area that corresponds to today's Balochistan. It may be identified with modern Gwadar in Pakistan
https://www.jatland.com/home/Gedrosia","",""
"13691c6d-0801-4981-b1b1-7767243b5e43","6.22.3_text.txt","who dwell in a city of vast extent and of remarkable opulence, called palibothra","char-offset:136","","","","","","","","","luxury item origin","","",""
"af46e217-8bf7-40de-a60b-e7ac37a6ee33","6.22.3_text.txt","palibothra","char-offset:206","PLACE","http://pleiades.stoa.org/places/59978","Palibothra|Palibothra, Patna Skt.: Paṭaliputra","-0330/0640","25.614443","85.13502","settlement","VERIFIED","","","",""
"ca948382-f44c-4fd9-89bb-f4740c05de16","6.26.1_text.txt","arbis","char-offset:832","PLACE","http://pleiades.stoa.org/places/40049","Arabis/Arbis","-0030/0300","","","unlocated","VERIFIED","","","",""
"2365f785-f1c5-4da9-b09c-5433d94b6ee0","6.26.1_text.txt","nabrus","char-offset:901","","","","","","","","","","river in  Palestinian city","",""
"16915817-b3e1-4ef5-9956-25f27937f251","6.26.1_text.txt","alexandria","char-offset:995","","","","","","","","","","city in Afghanistan","",""
"80b3dfdd-fcd0-459f-8bc8-3725f466257f","6.26.1_text.txt","argenus","char-offset:1083","","","","","","","","","","ancient place name","",""
"4a7c18c3-756f-4abd-b6ed-fad47f9a8e36","6.26.1_text.txt","tonberos","char-offset:1134","","","","","","","","","","Tomerus is a river mentioned by Greek historian Arrian. The river Tomerus is spoken of by Arrian as lying between the Indus and the river Arabis or Arbis located in Lasbela, Balochistan, Pakistan. Pliny mentions it as Tonberos


https://www.jatland.com/home/Tomerus","",""
"dee6c5be-7bd2-4e40-a193-e8cca3eb0773","6.26.1_text.txt","and then the hyctanis, a river of carmania, with an excellent harbour at its mouth, and producing gold","char-offset:1578","","","","","","","","","luxury item origin","","",""
"618c9316-f13f-45d8-abca-c826ae8e0444","6.26.1_text.txt","hyctanis","char-offset:1591","","","","","","","","","","a river in Carmania, mentioned by Pliny
https://www.wordsense.eu/Hyctanis/","",""
"0db57114-58f7-410d-9cf8-fc8052abe4b3","6.26.1_text.txt","up to this spot extended the empire of the achaemenidae, and in these districts are to be found mines of copper, iron, arsenic, and red lead","char-offset:1901","","","","","","","","","luxury item origin","","",""
"82ec6f4a-ce2d-4701-802c-809f86bcc3ea","6.26.4_text.txt","sigerus","char-offset:131","PLACE","http://pleiades.stoa.org/places/50133","Milizigeris?/Sigerus?|Milizigeris?/Sigerus?, Jaygarh","-0030/0300","17.294362","73.213429","settlement","VERIFIED","","","",""
"60be1bff-98f2-4e30-91be-0aaf9ef6aa66","6.26.5_text.txt","the subject is one well worthy of our notice, seeing that in no year does india drain our empire of less than five hundred and fifty millions of sesterces, giving back her own wares in exchange, which are sold among us at fully one hundred times their prime cost.","char-offset:228","","","","","","","","","description of trade volume","","",""
"c847405b-fdf5-44bd-b0c1-7d50ecc3d8cc","7.2.6_text.txt","the biggest animals grow in india","char-offset:58","","","","","","","","","natural wonder in India","","",""
"1407b488-7ae5-4ce1-b348-85d788ec2f43","7.2.6_text.txt","catarcludi","char-offset:2282","PLACE","","","","","","","UNVERIFIED","","a district in the east on India","",""
"7f119ecc-01a4-45f2-b666-32c6d33c82ed","12.41.1_text.txt","but the title 'happy' belongs still more to the arabian sea, for from it come the pearls which that country sends us","char-offset:1030","","","","","","","","","luxury item origin","","",""
"5a64e1ac-bd4f-4d03-8329-df24455015a0","12.41.1_text.txt","by the lowest reckoning india, china and the arabian peninsula take from our empire 100 million sesterces every year — that is the sum which our luxuries and our women cost us; for what fraction of these imports, i ask you, now goes to the gods or to the powers of the lower world?","char-offset:1152","","","","","","","","","criticism about luxury trade","","",""
"e067df76-2067-48c5-b6a9-d754a2329690","16.62.1_text.txt","meros","char-offset:144","PLACE","http://pleiades.stoa.org/places/59927","Meros (mountain)","-0330/0640","36.2553","71.8406","mountain","VERIFIED","","","",""
"1d6213fc-af8f-487c-9893-1387d709c58a","21.8.1_text.txt","such is the latest form taken by the luxury of our women","char-offset:571","","","","","","","","","description about fashion","","",""
"d99d04d0-3395-4f42-99c5-8e1a07c7c705","37.11.3_text.txt","amber","char-offset:28","","","","","","","","","gem&stone","","",""
"0f501e9e-9199-4396-950e-80eb062184ea","37.11.3_text.txt","amber","char-offset:253","","","","","","","","","gem&stone","","",""
"5bc69fb3-f473-454e-a8e2-44b01c658af0","37.11.3_text.txt","amber","char-offset:359","","","","","","","","","gem&stone","","",""
"3dcf5bfe-5634-4d55-8902-f5b63ed04680","37.11.3_text.txt","amber","char-offset:712","","","","","","","","","gem&stone","","",""
"a00d73a1-1cf3-4bfa-99b8-bf3dffb0c1c2","37.11.3_text.txt","sucinum","char-offset:950","","","","","","","","","gem&stone","variant name of amber","",""
"5a798a97-f0cf-489d-98e3-7ae5f8978d9f","37.11.3_text.txt","amber","char-offset:1546","","","","","","","","","gem&stone","","",""
"8b615e18-0ecc-4254-b757-58da7daf63ef","37.11.3_text.txt","amber","char-offset:1905","","","","","","","","","gem&stone","","",""
"14f7951c-d3b5-480f-a6cf-2bef1d236e68","37.11.3_text.txt","amber","char-offset:2063","","","","","","","","","gem&stone","","",""
"da875e58-5124-4847-9496-96b272ee7e24","37.11.3_text.txt","amber","char-offset:2489","","","","","","","","","gem&stone","","",""
"6ceaf811-313c-4e27-85c9-957389db7625","37.11.3_text.txt","it is certain that amber is to be found also in india","char-offset:2581","","","","","","","","","luxury item origin","","",""
"61ef748c-3357-46fa-b3e8-0088def8f911","37.11.3_text.txt","amber","char-offset:2600","","","","","","","","","gem&stone","","",""
"922328e2-39b2-425d-9fe2-a5b85f2e2175","37.11.3_text.txt","amber","char-offset:2836","","","","","","","","","gem&stone","","",""
"63e9a692-f2bc-44b3-a205-c952e2b8dd00","37.20.1_text.txt","beryls","char-offset:35","","","","","","","","","gem&stone","","",""
"9355f00a-53b9-45a6-88d7-1f768c2b9d5c","37.20.1_text.txt","emeralds","char-offset:91","","","","","","","","","gem&stone","","",""
"5b6953a2-313c-4f4a-ae00-938466c69176","37.20.1_text.txt","beryls are produced in india and are rarely found elsewhere","char-offset:101","","","","","","","","","luxury item origin","","",""
"ca5e3f66-4072-4cdc-8e7b-6ee2f2787abe","37.20.1_text.txt","beryls","char-offset:101","","","","","","","","","gem&stone","","",""
"80a0ce6c-7e9d-4abc-99ec-02ef24d67634","37.20.1_text.txt","beryls","char-offset:436","","","","","","","","","gem&stone","","",""
"7f0e51f9-a55b-46cf-a1b8-baa848633728","37.20.1_text.txt","chrysoberyls","char-offset:534","","","","","","","","","gem&stone","","",""
"2b7e3d53-9d02-4c8b-96ce-cae5726b621f","37.20.1_text.txt","chrysoprasus","char-offset:740","","","","","","","","","gem&stone","","",""
"0f9cec05-eeea-4192-b4f8-4a7607d247f2","37.20.1_text.txt","hyacinthizontes","char-offset:789","","","","","","","","","gem&stone","","",""
"6d085aa0-7fa2-4068-a4d6-38ed65aeb745","37.20.1_text.txt","sapphire-blue beryls","char-offset:811","","","","","","","","","gem&stone","","",""
"f1fed0d8-17fb-4aa9-ad62-e70808e13745","37.20.1_text.txt","aeroides","char-offset:859","","","","","","","","","gem&stone","","",""
"40c97059-bae7-48b4-bdb9-6e54f63dbf5f","37.20.1_text.txt","beryls","char-offset:958","","","","","","","","","gem&stone","","",""
"8705a9ec-7bee-47ea-8dbf-3a55e0e42a9d","37.20.1_text.txt","beryls","char-offset:1049","","","","","","","","","gem&stone","","",""
"54ac19b0-41b1-407a-ab2d-96416dde4788","37.20.1_text.txt","beryls","char-offset:1224","","","","","","","","","gem&stone","","",""
